good.bad  checking  duration  history  purpose  amount  savings  employed  installp  martial  coapp  resident  property  age  other  housing  existcr  job  depends  telephon  foreign
1 4 12.00 5 4 618.00 1 5 4.00 3 1 4.00 1 56.00 3 2 1.00 3 1.00 1 1 
1 1 24.00 2 3 2483.00 3 3 4.00 3 1 4.00 1 22.00 2 2 1.00 3 1.00 2 1 
1 1 6.00 3 2 1352.00 3 1 1.00 2 1 2.00 2 23.00 3 1 1.00 1 1.00 2 1 
1 1 36.00 3 2 5493.00 1 5 2.00 3 1 4.00 4 42.00 3 3 1.00 3 2.00 1 1 
1 1 15.00 5 3 1478.00 1 5 4.00 3 1 4.00 3 44.00 3 2 2.00 3 2.00 2 1 
1 2 48.00 1 1 8358.00 3 2 1.00 2 1 1.00 3 30.00 3 2 2.00 3 1.00 1 1 
1 4 6.00 3 4 518.00 1 3 3.00 2 1 1.00 1 29.00 3 2 1.00 3 1.00 1 1 
1 2 15.00 3 4 1444.00 5 2 4.00 3 1 1.00 2 23.00 3 2 1.00 3 1.00 1 1 
2 1 24.00 3 1 3123.00 1 2 4.00 2 1 1.00 2 27.00 3 2 1.00 3 1.00 1 1 
1 2 30.00 2 3 3496.00 4 3 4.00 3 1 2.00 3 34.00 2 2 1.00 3 2.00 2 1 
1 2 18.00 3 6 3872.00 1 1 2.00 2 1 4.00 3 67.00 3 2 1.00 3 1.00 2 1 
1 4 36.00 3 9 5742.00 2 4 2.00 3 1 2.00 3 31.00 3 2 2.00 3 1.00 2 1 
1 4 9.00 5 7 936.00 3 5 4.00 3 1 2.00 3 52.00 3 2 2.00 3 1.00 2 1 
1 2 8.00 3 4 1414.00 1 3 4.00 3 3 2.00 1 33.00 3 2 1.00 3 1.00 1 2 
2 4 18.00 3 3 1533.00 1 2 4.00 4 2 1.00 2 43.00 3 2 1.00 2 2.00 1 1 
1 4 24.00 3 2 3488.00 2 4 3.00 2 1 4.00 3 23.00 3 2 1.00 3 1.00 1 1 
1 4 6.00 5 4 1898.00 5 3 1.00 3 1 2.00 1 34.00 3 2 2.00 2 2.00 1 1 
2 1 24.00 2 4 1546.00 1 4 4.00 3 3 4.00 3 24.00 1 1 1.00 2 1.00 1 1 
1 4 24.00 3 4 2284.00 1 4 4.00 3 1 2.00 3 28.00 3 2 1.00 3 1.00 2 1 
1 4 6.00 1 4 426.00 1 5 4.00 4 1 4.00 3 39.00 3 2 1.00 2 1.00 1 1 
2 4 18.00 5 1 1530.00 1 3 3.00 3 1 2.00 2 32.00 1 2 2.00 3 1.00 1 1 
2 2 36.00 3 7 12612.00 2 3 1.00 3 1 4.00 4 47.00 3 3 1.00 3 2.00 2 1 
2 1 18.00 3 5 1217.00 1 3 4.00 4 1 3.00 1 47.00 3 2 1.00 2 1.00 2 1 
2 2 12.00 3 3 951.00 2 2 4.00 2 1 4.00 3 27.00 1 1 4.00 3 1.00 1 1 
1 4 4.00 3 3 601.00 1 2 1.00 2 1 3.00 1 23.00 3 1 1.00 2 2.00 1 1 
2 2 24.00 3 1 1246.00 1 2 4.00 3 1 2.00 1 23.00 2 2 1.00 2 1.00 1 1 
1 1 18.00 1 9 3104.00 1 4 3.00 3 1 1.00 2 31.00 1 2 1.00 3 1.00 2 1 
1 4 24.00 3 4 1552.00 1 4 3.00 3 1 1.00 3 32.00 1 2 1.00 3 2.00 1 1 
2 2 48.00 4 7 6224.00 1 5 4.00 3 1 4.00 4 50.00 3 3 1.00 3 1.00 1 1 
1 4 24.00 5 3 1585.00 1 4 4.00 3 1 3.00 2 40.00 3 2 2.00 3 1.00 1 1 
2 2 36.00 3 4 2671.00 2 3 4.00 2 2 4.00 4 50.00 3 3 1.00 3 1.00 1 1 
2 2 24.00 3 4 2039.00 1 2 1.00 4 1 1.00 2 22.00 3 2 1.00 3 1.00 2 1 
2 2 36.00 4 9 4455.00 1 3 2.00 1 1 2.00 1 30.00 2 2 2.00 4 1.00 2 1 
1 4 12.00 5 3 5801.00 5 5 2.00 3 1 4.00 2 49.00 3 1 1.00 3 1.00 2 1 
1 1 24.00 5 4 1231.00 4 5 4.00 2 1 4.00 2 57.00 3 1 2.00 4 1.00 2 1 
1 4 9.00 5 4 3074.00 5 3 1.00 3 1 2.00 1 33.00 3 2 2.00 3 2.00 1 1 
2 4 24.00 3 9 4591.00 4 3 2.00 3 1 3.00 2 54.00 3 2 3.00 4 1.00 2 1 
1 2 12.00 3 4 1567.00 1 3 1.00 2 1 1.00 3 22.00 3 2 1.00 3 1.00 2 1 
1 4 12.00 3 9 1542.00 1 4 2.00 3 1 4.00 3 36.00 3 2 1.00 3 1.00 2 1 
1 4 15.00 5 4 1360.00 1 3 4.00 3 1 2.00 2 31.00 3 2 2.00 3 1.00 1 1 
1 4 9.00 3 1 2507.00 3 5 2.00 3 1 4.00 4 51.00 3 3 1.00 2 1.00 1 1 
1 1 12.00 3 3 2577.00 1 3 2.00 1 1 1.00 3 42.00 3 2 1.00 3 1.00 1 1 
1 4 18.00 3 1 2662.00 5 4 4.00 3 1 3.00 2 32.00 3 2 1.00 3 1.00 1 2 
1 4 9.00 3 4 2697.00 1 3 1.00 3 1 2.00 1 32.00 3 2 1.00 3 2.00 1 1 
1 2 12.00 3 2 2028.00 5 3 4.00 3 1 2.00 3 30.00 3 2 1.00 3 1.00 1 1 
1 4 36.00 3 4 2394.00 5 3 4.00 2 1 4.00 3 25.00 3 2 1.00 3 1.00 1 1 
2 2 12.00 3 1 888.00 1 5 4.00 3 1 4.00 3 41.00 1 2 1.00 2 2.00 1 1 
1 4 30.00 5 2 7596.00 5 5 1.00 3 1 4.00 3 63.00 3 2 2.00 3 1.00 1 1 
1 4 12.00 5 7 701.00 1 3 4.00 3 1 2.00 3 32.00 3 2 2.00 3 1.00 1 1 
2 3 10.00 3 1 1240.00 2 5 1.00 2 1 4.00 4 48.00 3 3 1.00 2 2.00 1 1 
2 2 24.00 3 2 12579.00 1 5 4.00 2 1 2.00 4 44.00 3 3 1.00 4 1.00 2 1 
1 2 18.00 3 7 1239.00 5 3 4.00 3 1 4.00 4 61.00 3 3 1.00 3 1.00 1 1 
1 3 24.00 3 3 1925.00 1 3 2.00 3 1 2.00 1 26.00 3 2 1.00 3 1.00 1 1 
2 2 30.00 3 3 3441.00 2 3 2.00 2 2 4.00 3 21.00 3 1 1.00 3 1.00 1 1 
2 1 36.00 3 1 9271.00 1 4 2.00 3 1 1.00 3 24.00 3 2 1.00 3 1.00 2 1 
1 4 12.00 3 1 1884.00 1 5 4.00 3 1 4.00 3 39.00 3 2 1.00 4 1.00 2 1 
1 4 15.00 3 3 2221.00 3 3 2.00 2 1 4.00 3 20.00 3 1 1.00 3 1.00 1 1 
1 1 27.00 3 4 3416.00 1 3 3.00 3 1 2.00 3 27.00 3 2 1.00 4 1.00 1 1 
1 2 18.00 4 9 2427.00 5 5 4.00 3 1 2.00 2 42.00 3 2 2.00 3 1.00 1 1 
1 2 21.00 5 3 2745.00 4 4 3.00 3 1 2.00 3 32.00 3 2 2.00 3 1.00 2 1 
2 1 15.00 3 1 3959.00 1 3 3.00 2 1 2.00 2 29.00 3 2 1.00 3 1.00 2 1 
1 4 24.00 5 4 2872.00 2 5 3.00 3 1 4.00 1 36.00 3 2 1.00 3 2.00 2 1 
1 4 12.00 3 4 3059.00 4 4 2.00 1 1 4.00 1 61.00 3 2 1.00 2 1.00 1 1 
1 2 42.00 2 2 9283.00 1 1 1.00 3 1 2.00 4 55.00 1 3 1.00 4 1.00 2 1 
1 2 6.00 4 9 1449.00 2 5 1.00 1 1 2.00 3 31.00 1 2 2.00 3 2.00 1 1 
2 4 6.00 3 3 4611.00 1 2 1.00 2 1 4.00 2 32.00 3 2 1.00 3 1.00 1 1 
1 2 12.00 3 4 625.00 1 2 4.00 4 3 1.00 1 26.00 1 2 1.00 2 1.00 1 1 
2 1 12.00 5 1 3499.00 1 3 3.00 2 2 2.00 1 29.00 3 2 2.00 3 1.00 1 1 
1 2 18.00 3 1 6260.00 1 4 3.00 3 1 3.00 1 28.00 3 1 1.00 2 1.00 1 1 
1 4 10.00 3 1 1287.00 5 5 4.00 3 2 2.00 2 45.00 3 2 1.00 2 1.00 1 2 
2 2 24.00 5 10 11938.00 1 3 2.00 3 2 3.00 3 39.00 3 2 2.00 4 2.00 2 1 
1 4 30.00 5 4 2831.00 1 3 4.00 2 1 2.00 3 33.00 3 2 1.00 3 1.00 2 1 
2 1 12.00 3 8 902.00 1 4 4.00 4 1 4.00 2 21.00 3 1 1.00 3 1.00 1 1 
1 4 15.00 5 3 2788.00 1 4 2.00 2 2 3.00 3 24.00 1 2 2.00 3 1.00 1 1 
1 4 24.00 3 2 9277.00 5 3 2.00 1 1 4.00 4 48.00 3 3 1.00 3 1.00 2 1 
1 1 12.00 3 1 3651.00 4 3 1.00 3 1 3.00 2 31.00 3 2 1.00 3 2.00 1 1 
2 1 24.00 3 4 1282.00 2 3 4.00 2 1 2.00 3 32.00 3 2 1.00 2 1.00 1 1 
2 1 12.00 1 6 1108.00 1 4 4.00 3 1 3.00 1 28.00 3 2 2.00 3 1.00 1 1 
1 1 8.00 5 1 3398.00 1 4 1.00 3 1 4.00 1 39.00 3 2 2.00 2 1.00 1 2 
1 1 24.00 3 3 4169.00 1 3 4.00 3 1 4.00 2 28.00 3 2 1.00 3 1.00 1 1 
2 1 20.00 5 1 2235.00 1 3 4.00 4 3 2.00 2 33.00 1 1 2.00 3 1.00 1 2 
1 1 24.00 3 10 1755.00 1 5 4.00 2 3 4.00 1 58.00 3 2 1.00 2 1.00 2 1 
2 3 30.00 4 9 1908.00 1 5 4.00 3 1 4.00 1 66.00 3 2 1.00 4 1.00 2 1 
1 4 36.00 4 2 8947.00 5 4 3.00 3 1 2.00 3 31.00 2 2 1.00 4 2.00 2 1 
1 1 11.00 5 1 3905.00 1 3 2.00 3 1 2.00 1 36.00 3 1 2.00 3 2.00 1 1 
1 4 24.00 5 2 3868.00 1 5 4.00 2 1 2.00 3 41.00 3 1 2.00 4 1.00 2 1 
2 2 30.00 4 4 1919.00 2 2 4.00 3 1 3.00 4 30.00 2 2 2.00 4 1.00 1 1 
1 1 21.00 3 1 3763.00 5 4 2.00 3 2 2.00 1 24.00 3 2 1.00 2 1.00 1 2 
1 4 36.00 5 4 3342.00 5 5 4.00 3 1 2.00 3 51.00 3 2 1.00 3 1.00 2 1 
2 2 12.00 1 3 2969.00 1 2 4.00 2 1 3.00 2 25.00 3 1 2.00 3 1.00 1 1 
2 2 6.00 2 1 931.00 2 2 1.00 2 1 1.00 2 32.00 2 2 1.00 2 1.00 1 1 
1 1 48.00 3 7 7476.00 1 4 4.00 3 1 1.00 4 50.00 3 3 1.00 4 1.00 2 1 
1 4 24.00 3 4 1376.00 3 4 4.00 2 1 1.00 3 28.00 3 2 1.00 3 1.00 1 1 
1 4 15.00 3 4 3568.00 1 5 4.00 2 1 2.00 3 54.00 1 1 1.00 4 1.00 2 1 
1 2 9.00 3 4 790.00 3 3 4.00 2 1 3.00 1 66.00 3 2 1.00 2 1.00 1 1 
1 2 15.00 3 6 1514.00 2 3 4.00 3 3 2.00 1 22.00 3 2 1.00 3 1.00 1 1 
2 2 18.00 5 1 1056.00 1 5 3.00 3 3 3.00 1 30.00 1 2 2.00 3 1.00 1 1 
1 4 24.00 5 1 1940.00 4 5 4.00 3 1 4.00 1 60.00 3 2 1.00 3 1.00 2 1 
1 4 48.00 5 4 3578.00 5 5 4.00 3 1 1.00 1 47.00 3 2 1.00 3 1.00 2 1 
1 1 6.00 5 4 1957.00 1 4 1.00 2 1 4.00 3 31.00 3 2 1.00 3 1.00 1 1 
1 4 12.00 1 3 2759.00 1 5 2.00 3 1 4.00 2 34.00 3 2 2.00 3 1.00 1 1 
1 4 24.00 5 4 2424.00 5 5 4.00 3 1 4.00 2 53.00 3 2 2.00 3 1.00 1 1 
1 1 12.00 3 4 701.00 1 3 4.00 4 1 2.00 1 40.00 3 2 1.00 2 1.00 1 1 
2 3 15.00 3 4 2327.00 1 2 2.00 2 1 3.00 1 25.00 3 2 1.00 2 1.00 1 1 
1 2 6.00 3 4 753.00 1 3 2.00 2 3 3.00 1 64.00 3 2 1.00 3 1.00 1 1 
1 4 30.00 3 4 2333.00 3 5 4.00 3 1 2.00 3 30.00 1 2 1.00 4 1.00 1 1 
1 2 24.00 3 4 2896.00 2 2 2.00 3 1 1.00 3 29.00 3 2 1.00 3 1.00 1 1 
1 1 24.00 5 9 1382.00 2 4 4.00 3 1 1.00 1 26.00 3 2 2.00 3 1.00 2 1 
2 1 30.00 3 3 6350.00 5 5 4.00 3 1 4.00 2 31.00 3 2 1.00 3 1.00 1 1 
2 4 18.00 5 1 2775.00 1 4 2.00 3 1 2.00 2 31.00 1 2 2.00 3 1.00 1 1 
1 2 12.00 5 1 958.00 1 4 2.00 3 1 3.00 1 47.00 3 2 2.00 2 2.00 1 1 
1 3 15.00 5 2 2360.00 3 3 2.00 3 1 2.00 3 36.00 3 2 1.00 3 1.00 2 1 
2 4 48.00 5 2 11590.00 2 3 2.00 2 1 4.00 3 24.00 1 1 2.00 2 1.00 1 1 
1 4 24.00 3 1 1525.00 4 4 4.00 2 1 3.00 3 34.00 3 2 1.00 3 2.00 2 1 
1 4 24.00 3 8 937.00 1 2 4.00 4 1 3.00 3 27.00 3 2 2.00 2 1.00 1 1 
2 4 24.00 3 4 5943.00 5 2 1.00 2 1 1.00 3 44.00 3 2 2.00 3 1.00 2 1 
1 4 36.00 3 9 7409.00 5 5 3.00 3 1 2.00 2 37.00 3 2 2.00 3 1.00 1 1 
1 1 24.00 3 4 2384.00 1 5 4.00 3 1 4.00 1 64.00 1 1 1.00 2 1.00 1 1 
1 4 6.00 5 4 700.00 5 5 4.00 3 1 4.00 4 36.00 3 3 2.00 3 1.00 1 1 
1 4 36.00 4 4 4454.00 1 3 4.00 2 1 4.00 1 34.00 3 2 2.00 3 1.00 1 1 
2 1 36.00 5 2 9629.00 1 4 4.00 3 1 4.00 3 24.00 3 2 2.00 3 1.00 2 1 
1 4 39.00 3 2 2569.00 3 3 4.00 3 1 4.00 3 24.00 3 2 1.00 3 1.00 1 1 
1 1 18.00 3 3 3650.00 1 2 1.00 2 1 4.00 3 22.00 3 1 1.00 3 1.00 1 1 
1 4 24.00 3 4 3105.00 5 2 4.00 3 1 2.00 3 25.00 3 2 2.00 3 1.00 1 1 
1 4 15.00 5 7 1532.00 2 3 4.00 2 1 3.00 3 31.00 3 2 1.00 3 1.00 1 1 
1 2 18.00 3 3 3001.00 1 4 2.00 2 1 4.00 1 40.00 3 1 1.00 3 1.00 1 1 
2 2 6.00 3 1 14555.00 5 1 1.00 3 1 2.00 2 23.00 3 2 1.00 1 1.00 2 1 
1 4 24.00 5 9 4139.00 2 3 3.00 3 1 3.00 2 27.00 3 2 2.00 2 1.00 2 1 
1 4 48.00 2 9 3609.00 1 3 1.00 2 1 1.00 1 27.00 2 2 1.00 3 1.00 1 1 
1 4 24.00 3 1 3757.00 1 5 4.00 2 2 4.00 4 62.00 3 3 1.00 3 1.00 2 1 
1 4 24.00 3 2 7814.00 1 4 3.00 3 1 3.00 3 38.00 3 2 1.00 4 1.00 2 1 
1 1 24.00 3 3 4020.00 1 3 2.00 3 1 2.00 3 27.00 2 2 1.00 3 1.00 1 1 
2 1 24.00 3 3 2996.00 5 3 2.00 4 1 4.00 3 20.00 3 2 1.00 3 1.00 1 1 
2 3 9.00 1 4 1337.00 1 2 4.00 3 1 2.00 3 34.00 3 2 2.00 4 1.00 2 1 
1 4 24.00 5 4 1851.00 1 4 4.00 4 3 2.00 3 33.00 3 2 2.00 3 1.00 2 1 
1 1 18.00 5 4 1880.00 1 4 4.00 4 1 1.00 2 32.00 3 2 2.00 4 1.00 2 1 
2 2 36.00 1 4 3804.00 1 3 4.00 2 1 1.00 3 42.00 3 2 1.00 3 1.00 2 1 
2 2 18.00 3 2 12976.00 1 1 3.00 2 1 4.00 4 38.00 3 3 1.00 4 1.00 2 1 
2 2 12.00 3 1 685.00 1 4 2.00 4 1 3.00 3 25.00 1 2 1.00 2 1.00 1 1 
1 1 24.00 5 2 6615.00 1 1 2.00 3 1 4.00 4 75.00 3 3 2.00 4 1.00 2 1 
2 2 36.00 5 1 2820.00 1 2 4.00 1 1 4.00 3 27.00 3 2 2.00 3 1.00 1 1 
2 3 18.00 3 3 2864.00 1 3 2.00 3 1 1.00 1 34.00 3 2 1.00 2 2.00 1 1 
1 4 36.00 3 2 4686.00 1 3 2.00 3 1 2.00 4 32.00 3 3 1.00 4 1.00 2 1 
1 2 12.00 1 8 1410.00 1 3 2.00 3 1 2.00 1 31.00 3 2 1.00 2 1.00 2 1 
1 1 21.00 3 4 3357.00 4 2 4.00 2 1 2.00 3 29.00 1 2 1.00 3 1.00 1 1 
1 2 24.00 5 2 7758.00 4 5 2.00 2 1 4.00 4 29.00 3 1 1.00 3 1.00 1 1 
1 2 27.00 4 2 5965.00 1 5 1.00 3 1 2.00 3 30.00 3 2 2.00 4 1.00 2 1 
1 4 48.00 5 2 8858.00 5 4 2.00 3 1 1.00 4 35.00 3 3 2.00 3 1.00 2 1 
2 1 48.00 1 3 7119.00 1 3 3.00 3 1 4.00 4 53.00 3 3 2.00 3 2.00 1 1 
1 4 10.00 3 1 1364.00 1 3 2.00 2 1 4.00 3 64.00 3 2 1.00 3 1.00 2 1 
1 2 16.00 5 1 1175.00 1 1 2.00 3 1 3.00 3 68.00 3 3 3.00 1 1.00 2 1 
2 1 30.00 3 3 2406.00 1 4 4.00 2 1 4.00 1 23.00 3 1 1.00 3 1.00 1 1 
2 4 12.00 3 1 1386.00 3 3 2.00 2 1 2.00 2 26.00 3 2 1.00 3 1.00 1 1 
1 1 12.00 3 3 1289.00 1 3 4.00 3 3 1.00 2 21.00 3 2 1.00 2 1.00 1 1 
1 2 39.00 4 7 11760.00 2 4 2.00 3 1 3.00 4 32.00 3 1 1.00 3 1.00 2 1 
1 4 12.00 3 3 1574.00 1 3 4.00 3 1 2.00 1 50.00 3 2 1.00 3 1.00 1 1 
1 2 12.00 5 1 2366.00 3 4 3.00 1 1 3.00 3 36.00 3 2 1.00 4 1.00 2 1 
2 1 24.00 2 1 1193.00 1 1 1.00 2 2 4.00 4 29.00 3 1 2.00 1 1.00 1 1 
1 4 28.00 5 4 2743.00 1 5 4.00 3 1 2.00 3 29.00 3 2 2.00 3 1.00 1 1 
2 2 12.00 3 6 639.00 1 3 4.00 3 1 2.00 3 30.00 3 2 1.00 3 1.00 1 1 
1 1 12.00 3 3 708.00 1 3 2.00 3 3 3.00 2 38.00 3 2 1.00 2 2.00 1 1 
1 1 6.00 3 4 2647.00 3 3 2.00 3 1 3.00 1 44.00 3 1 1.00 3 2.00 1 1 
1 4 15.00 3 2 4657.00 1 3 3.00 3 1 2.00 3 30.00 3 2 1.00 3 1.00 2 1 
1 1 24.00 2 2 3632.00 1 3 1.00 2 3 4.00 3 22.00 1 1 1.00 3 1.00 1 2 
1 4 48.00 4 4 7238.00 5 5 3.00 3 1 3.00 3 32.00 1 2 2.00 3 2.00 1 1 
1 4 9.00 5 3 2406.00 1 1 2.00 3 1 3.00 3 31.00 3 2 1.00 4 1.00 1 1 
1 4 9.00 3 4 2753.00 2 5 3.00 3 2 4.00 3 35.00 3 2 1.00 3 1.00 2 1 
1 1 36.00 5 3 2348.00 1 3 3.00 4 1 2.00 2 46.00 3 2 2.00 3 1.00 2 1 
1 2 36.00 3 4 4795.00 1 2 4.00 2 1 1.00 4 30.00 3 2 1.00 4 1.00 2 1 
1 2 24.00 4 9 4712.00 5 3 4.00 3 1 2.00 2 37.00 1 2 2.00 4 1.00 2 1 
2 3 12.00 5 1 939.00 3 4 4.00 4 1 2.00 1 28.00 3 2 3.00 3 1.00 2 1 
1 4 18.00 5 4 1800.00 1 3 4.00 3 1 2.00 3 24.00 3 2 2.00 3 1.00 1 1 
1 4 18.00 3 4 1505.00 1 3 4.00 3 1 2.00 4 32.00 3 3 1.00 4 1.00 2 1 
2 1 48.00 3 1 7763.00 1 5 4.00 3 1 4.00 4 42.00 1 3 1.00 4 1.00 1 1 
1 2 9.00 3 1 1549.00 5 2 4.00 3 1 2.00 1 35.00 3 2 1.00 1 1.00 1 1 
1 4 24.00 3 4 1311.00 2 4 4.00 4 1 3.00 2 26.00 3 2 1.00 3 1.00 2 1 
1 2 18.00 5 9 3590.00 1 1 3.00 4 1 3.00 3 40.00 3 2 3.00 1 2.00 2 1 
1 4 18.00 3 3 2515.00 1 3 3.00 3 1 4.00 1 43.00 3 2 1.00 3 1.00 2 1 
1 4 15.00 3 5 1262.00 3 4 4.00 3 1 3.00 2 36.00 3 2 2.00 3 1.00 2 1 
1 4 12.00 5 4 1655.00 1 5 2.00 3 1 4.00 1 63.00 3 2 2.00 2 1.00 2 1 
1 3 30.00 5 4 3017.00 1 5 4.00 3 1 4.00 2 47.00 3 2 1.00 3 1.00 1 1 
1 3 12.00 3 4 3399.00 5 5 2.00 3 1 3.00 3 37.00 3 2 1.00 4 1.00 1 1 
1 4 6.00 3 1 3518.00 1 3 2.00 3 3 3.00 2 26.00 3 1 1.00 3 1.00 1 1 
1 3 42.00 1 9 6289.00 1 2 2.00 1 1 1.00 2 33.00 3 2 2.00 3 1.00 1 1 
1 2 9.00 3 3 2030.00 5 4 2.00 3 1 1.00 3 24.00 3 2 1.00 3 1.00 2 1 
1 4 6.00 2 4 1750.00 3 5 2.00 3 1 4.00 2 45.00 1 2 1.00 2 2.00 1 1 
2 4 36.00 5 1 7855.00 1 3 4.00 2 1 2.00 1 25.00 2 2 2.00 3 1.00 2 1 
2 2 36.00 4 1 8086.00 2 5 2.00 3 1 4.00 3 42.00 3 2 4.00 4 1.00 2 1 
2 1 12.00 3 1 1372.00 1 4 2.00 1 1 3.00 3 36.00 3 2 1.00 3 1.00 1 1 
1 1 30.00 1 9 8072.00 5 2 2.00 3 1 3.00 3 25.00 1 2 3.00 3 1.00 1 1 
2 1 24.00 4 1 4870.00 1 3 3.00 3 1 4.00 4 53.00 3 3 2.00 3 2.00 1 1 
2 1 36.00 2 3 2746.00 1 5 4.00 3 1 4.00 3 31.00 1 2 1.00 3 1.00 1 1 
1 1 12.00 5 4 385.00 1 4 4.00 2 1 3.00 1 58.00 3 2 4.00 2 1.00 2 1 
1 1 12.00 3 3 1858.00 1 2 4.00 2 1 1.00 3 22.00 3 1 1.00 3 1.00 1 1 
2 2 9.00 3 3 918.00 1 3 4.00 2 1 1.00 2 30.00 3 2 1.00 3 1.00 1 1 
1 2 24.00 5 9 2825.00 5 4 4.00 3 1 3.00 4 34.00 3 2 2.00 3 2.00 2 1 
2 1 24.00 3 1 1381.00 5 3 4.00 2 1 2.00 2 35.00 3 2 1.00 3 1.00 1 1 
1 4 12.00 5 7 2012.00 5 4 4.00 2 1 2.00 3 61.00 3 2 1.00 3 1.00 1 1 
1 2 12.00 3 3 3017.00 1 2 3.00 2 1 1.00 1 34.00 3 1 1.00 4 1.00 1 1 
1 4 30.00 5 4 5954.00 1 4 3.00 3 2 2.00 3 38.00 3 2 1.00 3 1.00 1 1 
1 4 15.00 3 3 2186.00 5 4 1.00 2 1 4.00 1 33.00 1 1 1.00 2 1.00 1 1 
2 2 48.00 5 3 5096.00 1 3 2.00 2 1 3.00 3 30.00 3 2 1.00 4 1.00 2 1 
2 2 15.00 2 1 6850.00 2 1 1.00 3 1 2.00 2 34.00 3 2 1.00 4 2.00 2 1 
2 1 24.00 3 4 1938.00 1 2 4.00 1 1 3.00 2 32.00 3 2 1.00 3 1.00 1 1 
1 1 15.00 3 3 1845.00 1 2 4.00 2 3 1.00 2 46.00 3 1 1.00 3 1.00 1 1 
1 2 10.00 3 1 7308.00 1 1 2.00 3 1 4.00 4 70.00 1 3 1.00 4 1.00 2 1 
1 4 24.00 5 1 2022.00 1 3 4.00 2 1 4.00 3 37.00 3 2 1.00 3 1.00 2 1 
1 2 12.00 3 4 1092.00 1 3 4.00 2 3 4.00 1 49.00 3 2 2.00 3 1.00 2 1 
1 1 24.00 3 3 3021.00 1 3 2.00 1 1 2.00 1 24.00 3 1 1.00 2 1.00 1 1 
2 4 18.00 1 9 4165.00 1 3 2.00 3 1 2.00 3 36.00 2 2 2.00 3 2.00 1 1 
2 1 24.00 3 4 1987.00 1 3 2.00 3 1 4.00 1 21.00 3 1 1.00 2 2.00 1 1 
1 4 36.00 4 1 10875.00 1 5 2.00 3 1 2.00 3 45.00 3 2 2.00 3 2.00 2 1 
